token,count_pos,count_neg,count_total,log_odds_food
香,236,0,236,1.9040705698231175
甜,216,0,216,1.8143860593448276
濃郁,171,0,171,1.5785677491432324
清爽,135,0,135,1.3410041854371935
濃,131,0,131,1.310849016180649
軟,122,0,122,1.239551818961302
酥,121,0,121,1.2313130223813618
酥脆,118,0,118,1.2061890471200396
一般,107,0,107,1.1083669994685525
鮮,106,0,106,1.0989892062406996
嫩,83,0,83,0.8552445248912734
不錯,694,8,702,0.7964543074059298
軟嫩,77,0,77,0.7806850514882528
可麗,75,0,75,0.7545591099579498
意外,66,0,66,0.6278416209802069
偏,64,0,64,0.5973859407569933
不膩,62,0,62,0.5659830891209365
驚艷,124,1,125,0.5599932176436209
健康,59,0,59,0.5169675051060896
脆,55,0,55,0.44767415284764667
清淡,51,0,51,0.3732657901840062
很棒,147,2,149,0.32246560284075176
方便,94,1,95,0.2832939275378905
實,46,0,46,0.2717943120229931
不同,92,1,93,0.26186588130484356
很嫩,43,0,43,0.20561119506892478
黃,42,0,42,0.18254663838698182
紅,84,1,85,0.17131528034389198
老,539,12,551,0.1531823559372567
酸甜,40,0,40,0.13476852937343597
鮮嫩,40,0,40,0.13476852937343597
甜膩,39,0,39,0.11000089521432788
鮮甜,38,0,38,0.0846080712891153
明顯,38,0,38,0.0846080712891153
小,348,8,356,0.08068249477422018
飽,191,4,195,0.06983634628884694
驚喜,36,0,36,0.0318143228019121
滿,109,2,111,0.022863819022723497
厚,35,0,35,0.004340349551251066
熱,142,3,145,-0.002668560845503265
很夠,33,0,33,-0.05296804554132262
平常,32,0,32,-0.08289599088276844
完美,65,1,66,-0.08311039679884846
新,128,3,131,-0.1067586680574486
足,31,0,31,-0.1137426261193788
好,1186,36,1222,-0.12241917442575945
硬,62,1,63,-0.12985588310472007
熟,30,0,30,-0.14556629538275168
不貴,30,0,30,-0.14556629538275168
簡單,61,1,62,-0.14593137004578605
冷,60,1,61,-0.16226703086575522
綿密,29,0,29,-0.17843108353431347
厚切,28,0,28,-0.2124075949191857
高,228,7,235,-0.22931457718674286
脆脆,27,0,27,-0.2475738688211102
整潔,27,0,27,-0.2475738688211102
幸福,27,0,27,-0.2475738688211102
濃厚,27,0,27,-0.2475738688211102
豐富,111,3,114,-0.24935526858560575
很,25,0,25,-0.3218317323038997
脆皮,24,0,24,-0.3611273826972772
苦,24,0,24,-0.3611273826972772
便宜,73,2,75,-0.37626270692089925
重要,23,0,23,-0.40202430884246
高麗,23,0,23,-0.40202430884246
久,46,1,47,-0.4240446602026635
很足,22,0,22,-0.44465884927185595
飽足,22,0,22,-0.44465884927185595
重,67,2,69,-0.4612712566980992
快,112,4,116,-0.4662481493516779
明亮,44,1,45,-0.46767987721623605
白,42,1,43,-0.5132923338386748
精,63,2,65,-0.5221965399720006
少,127,5,132,-0.5255162327386591
低,84,3,87,-0.5272373187829613
偏重,20,0,20,-0.5357804626591633
清甜,20,0,20,-0.5357804626591633
黑,20,0,20,-0.5357804626591633
鮮美,20,0,20,-0.5357804626591633
很大,81,3,84,-0.5633951211082415
暖,19,0,19,-0.5846455360012586
新鮮,19,0,19,-0.5846455360012586
粗,19,0,19,-0.5846455360012586
很好,39,1,40,-0.5858380770113287
大,237,11,248,-0.6065652964051278
厲害,38,1,39,-0.6112309009365413
清潔,18,0,18,-0.6360137339505085
難,113,5,118,-0.6424047318853878
直接,132,6,138,-0.6436989051459645
充足,17,0,17,-0.6901558531723602
很甜,17,0,17,-0.6901558531723602
滑嫩,17,0,17,-0.6901558531723602
紫,17,0,17,-0.6901558531723602
柔軟,17,0,17,-0.6901558531723602
軟爛,17,0,17,-0.6901558531723602
舒適,144,7,151,-0.6926747024032704
淨,158,8,166,-0.7199716023576013
不甜,16,0,16,-0.7473891593546016
舊,16,0,16,-0.7473891593546016
薄,16,0,16,-0.7473891593546016
綠,16,0,16,-0.7473891593546016
歡,16,0,16,-0.7473891593546016
溫馨,33,1,34,-0.7488070177669792
細,49,2,51,-0.7701082216960735
完全,167,9,176,-0.7723418915746518
微甜,15,0,15,-0.8080886679048866
甜甜,15,0,15,-0.8080886679048866
有趣,15,0,15,-0.8080886679048866
積極,15,0,15,-0.8080886679048866
漂亮,31,1,32,-0.8095815983450354
最愛,30,1,31,-0.8414052676084083
棒,45,2,47,-0.8537900858543148
順,14,0,14,-0.8727020701687049
充滿,14,0,14,-0.8727020701687049
偏貴,14,0,14,-0.8727020701687049
隱密,14,0,14,-0.8727020701687049
主動,14,0,14,-0.8727020701687049
淡,14,0,14,-0.8727020701687049
佳,42,2,44,-0.9214564989160037
慢,13,0,13,-0.9417698171751399
平衡,13,0,13,-0.9417698171751399
純,13,0,13,-0.9417698171751399
均勻,13,0,13,-0.9417698171751399
扎實,13,0,13,-0.9417698171751399
很重,13,0,13,-0.9417698171751399
古,27,1,28,-0.9434128410467668
舒服,83,5,88,-0.9500469505553575
親切,189,13,202,-0.9951666770229921
準,12,0,12,-1.015952659242422
清脆,12,0,12,-1.015952659242422
黏,12,0,12,-1.015952659242422
很膩,12,0,12,-1.015952659242422
常見,12,0,12,-1.015952659242422
扁,12,0,12,-1.015952659242422
細心,12,0,12,-1.015952659242422
忙碌,12,0,12,-1.015952659242422
特殊,25,1,26,-1.0176707045295563
寬敞,37,2,39,-1.045445562731084
熱鬧,11,0,11,-1.0960702312244344
不小,11,0,11,-1.0960702312244344
詳細,11,0,11,-1.0960702312244344
禮貌,11,0,11,-1.0960702312244344
很小,11,0,11,-1.0960702312244344
吃辣,11,0,11,-1.0960702312244344
濕,11,0,11,-1.0960702312244344
很軟,11,0,11,-1.0960702312244344
單純,11,0,11,-1.0960702312244344
完整,11,0,11,-1.0960702312244344
最高,11,0,11,-1.0960702312244344
輕,47,3,50,-1.1014687891445973
最好,22,1,23,-1.1404978214975126
近,22,1,23,-1.1404978214975126
美好,22,1,23,-1.1404978214975126
強,22,1,23,-1.1404978214975126
熱熱,10,0,10,-1.1831564669182955
客滿,10,0,10,-1.1831564669182955
固定,10,0,10,-1.1831564669182955
很厚,10,0,10,-1.1831564669182955
微辣,10,0,10,-1.1831564669182955
很辣,10,0,10,-1.1831564669182955
自由,10,0,10,-1.1831564669182955
重新,10,0,10,-1.1831564669182955
不足,21,1,22,-1.185024504465459
確實,21,1,22,-1.185024504465459
容易,43,3,46,-1.1887803762835851
臭,20,1,21,-1.23161943488482
辣,9,0,9,-1.2785414998234446
悠閒,9,0,9,-1.2785414998234446
溫暖,9,0,9,-1.2785414998234446
不愧,9,0,9,-1.2785414998234446
厚實,9,0,9,-1.2785414998234446
優雅,9,0,9,-1.2785414998234446
穩定,9,0,9,-1.2785414998234446
努力,9,0,9,-1.2785414998234446
長,28,2,30,-1.3164107322221712
強烈,18,1,19,-1.3318527061761651
優秀,18,1,19,-1.3318527061761651
獨特,27,2,29,-1.3515770061240957
耐心,36,3,39,-1.3625772485505978
懶,8,0,8,-1.3839768629795284
很硬,8,0,8,-1.3839768629795284
安靜,8,0,8,-1.3839768629795284
空,8,0,8,-1.3839768629795284
空虛,8,0,8,-1.3839768629795284
樂,8,0,8,-1.3839768629795284
愜意,8,0,8,-1.3839768629795284
深,8,0,8,-1.3839768629795284
微苦,8,0,8,-1.3839768629795284
焦,8,0,8,-1.3839768629795284
合適,8,0,8,-1.3839768629795284
可樂,8,0,8,-1.3839768629795284
很爽,8,0,8,-1.3839768629795284
有誠,8,0,8,-1.3839768629795284
迅速,8,0,8,-1.3839768629795284
較重,8,0,8,-1.3839768629795284
適當,8,0,8,-1.3839768629795284
飽滿,8,0,8,-1.3839768629795284
最,17,1,18,-1.3859948253980168
清楚,25,2,27,-1.4258348696068852
有限,16,1,17,-1.4432281315802582
清,33,3,36,-1.4473596168938325
香脆,7,0,7,-1.5018347405324404
尷尬,7,0,7,-1.5018347405324404
幽默,7,0,7,-1.5018347405324404
帥,7,0,7,-1.5018347405324404
遺憾,7,0,7,-1.5018347405324404
連續,7,0,7,-1.5018347405324404
精華,7,0,7,-1.5018347405324404
壞,7,0,7,-1.5018347405324404
蠻快,7,0,7,-1.5018347405324404
熱情,7,0,7,-1.5018347405324404
碎,7,0,7,-1.5018347405324404
甜蜜,7,0,7,-1.5018347405324404
均衡,7,0,7,-1.5018347405324404
不辣,7,0,7,-1.5018347405324404
熱心,7,0,7,-1.5018347405324404
很淡,7,0,7,-1.5018347405324404
愛好,7,0,7,-1.5018347405324404
不,7,0,7,-1.5018347405324404
青,7,0,7,-1.5018347405324404
暢,7,0,7,-1.5018347405324404
澀,7,0,7,-1.5018347405324404
細細,7,0,7,-1.5018347405324404
爽脆,7,0,7,-1.5018347405324404
不限,7,0,7,-1.5018347405324404
早,15,1,16,-1.5039276401305433
貼心,22,2,24,-1.5486619865748414
遠,22,2,24,-1.5486619865748414
不大,22,2,24,-1.5486619865748414
突然,14,1,15,-1.5685410423943615
貴,29,3,32,-1.5728226548868234
衛生,36,4,40,-1.5884345057364033
全,21,2,23,-1.593188669542788
腐,6,0,6,-1.6354409694526018
很薄,6,0,6,-1.6354409694526018
很貴,6,0,6,-1.6354409694526018
清新,6,0,6,-1.6354409694526018
成功,6,0,6,-1.6354409694526018
旺,6,0,6,-1.6354409694526018
濃稠,6,0,6,-1.6354409694526018
偏淡,6,0,6,-1.6354409694526018
巧妙,6,0,6,-1.6354409694526018
緊張,6,0,6,-1.6354409694526018
適時,6,0,6,-1.6354409694526018
偏軟,6,0,6,-1.6354409694526018
有名,6,0,6,-1.6354409694526018
普,6,0,6,-1.6354409694526018
苦澀,6,0,6,-1.6354409694526018
軟軟,6,0,6,-1.6354409694526018
愉快,27,3,30,-1.6419654401736201
豐盛,12,1,13,-1.7117916314680786
幸運,12,1,13,-1.7117916314680786
一大,12,1,13,-1.7117916314680786
友善,43,6,49,-1.7565594748581685
厚薄,5,0,5,-1.7896664799754456
癟,5,0,5,-1.7896664799754456
瘦,5,0,5,-1.7896664799754456
粗好,5,0,5,-1.7896664799754456
較慢,5,0,5,-1.7896664799754456
很適,5,0,5,-1.7896664799754456
典雅,5,0,5,-1.7896664799754456
便利,5,0,5,-1.7896664799754456
順利,5,0,5,-1.7896664799754456
炎熱,5,0,5,-1.7896664799754456
不易,5,0,5,-1.7896664799754456
興趣,5,0,5,-1.7896664799754456
軟硬,5,0,5,-1.7896664799754456
樸實,5,0,5,-1.7896664799754456
樂趣,5,0,5,-1.7896664799754456
美妙,5,0,5,-1.7896664799754456
太薄,5,0,5,-1.7896664799754456
濕軟,5,0,5,-1.7896664799754456
薄脆,5,0,5,-1.7896664799754456
美觀,5,0,5,-1.7896664799754456
良心,5,0,5,-1.7896664799754456
無限,5,0,5,-1.7896664799754456
柔嫩,5,0,5,-1.7896664799754456
晶瑩,5,0,5,-1.7896664799754456
很滿,5,0,5,-1.7896664799754456
綿,5,0,5,-1.7896664799754456
藍,5,0,5,-1.7896664799754456
稀,5,0,5,-1.7896664799754456
很爛,5,0,5,-1.7896664799754456
很高,5,0,5,-1.7896664799754456
根本,40,6,46,-1.8274021405536574
不好意思,10,1,11,-1.878995439143952
良好,15,2,17,-1.9120918052078721
差,56,10,66,-1.9596960735699667
蠻好,9,1,10,-1.9743804720491012
糟糕,8,1,9,-2.079815835205185
認真,12,2,14,-2.1199557965454074
誠意,15,3,18,-2.2024802392573966
便當,19,4,23,-2.204894364539574
驚訝,10,2,12,-2.287159604221281
辛苦,10,2,12,-2.287159604221281
猶豫,6,1,7,-2.3312799416782584
順便,6,1,7,-2.3312799416782584
歡樂,6,1,7,-2.3312799416782584
充分,6,1,7,-2.3312799416782584
寬,5,1,6,-2.485505452201102
美麗,5,1,6,-2.485505452201102
好奇,5,1,6,-2.485505452201102
溫柔,8,2,10,-2.487980000282514
麻煩,11,3,14,-2.4904618025769443
平均,11,3,14,-2.4904618025769443
仔細,7,2,9,-2.605837877835426
聰明,4,1,5,-2.6679018340914293
落差,4,1,5,-2.6679018340914293
優,4,1,5,-2.6679018340914293
優惠,4,1,5,-2.6679018340914293
痛,4,1,5,-2.6679018340914293
清澈,4,1,5,-2.6679018340914293
短,6,3,9,-3.0298325408051117
較大,5,4,9,-3.409915308513761
